Git Bushn	КС-12	26-02-2020 11:58:32	26-02-2020 11:58:34	r2
Git Bushn	КС-12	26-02-2020 12:55:18	26-02-2020 12:55:20	r2
Git Bushn	КС-12	26-02-2020 12:57:08	26-02-2020 12:57:11	r0
Git Pushn	КС-12	26-02-2020 12:57:08	26-02-2020 12:57:11	r3
Git Pushn	КС-12	26-02-2020 12:57:08	26-02-2020 12:57:11	r2
Git Bushn	КС-12	26-02-2020 12:58:09	26-02-2020 12:58:11	r1
Git Bushn	КС-12	26-02-2020 12:58:46	26-02-2020 12:58:49	r1
Git Bushn	КС-12	26-02-2020 13:09:37	26-02-2020 13:09:40	r1
Git Bushn	КС-12	28-02-2020 12:08:00	28-02-2020 12:08:18	r3
Git Bushn	КС-12	02-03-2020 22:12:39	02-03-2020 22:12:47	r3
Git Bushn	КС-12	02-03-2020 22:13:37	02-03-2020 22:13:39	r3
Git Bushn	КС-12	02-03-2020 22:16:05	02-03-2020 22:16:12	r2
Git Bushn	КС-12	03-03-2020 19:20:40	03-03-2020 19:20:43	r11
Git Bushn	КС-12	03-03-2020 19:26:11	03-03-2020 19:26:16	r4
